timestamp,v1,v2,v3,v4,t1,t2,t3,t4,c,s1,s2,s3,s4
1750342613578,4.15,4.17,4.139999999999999,4.15,34.81427130359282,32.59791422036784,32.70880369031113,34.088335962463134,2775.675675675676,1,1,1,1
1750342623579,4.14,4.13,4.080000000000001,4.13,34.569457506656875,32.48762153553167,32.59791422036784,33.73469894872193,2829.7297297297296,1,1,1,1
1750342633579,4.12,4.12,4.05,4.11,34.32749966523653,32.26880263412983,32.37791964209913,33.73469894872193,2802.702702702703,1,1,1,1
1750342643580,4.11,4.11,4.02,4.09,34.20757233333762,32.05230007956851,32.05230007956851,33.73469894872193,2802.702702702703,1,1,1,1
1750342653579,4.09,4.1,4.0200000000000005,4.06,34.088335962463134,32.05230007956851,32.05230007956851,33.618153326519234,2802.702702702703,1,1,1,1
1750342663579,4.08,4.09,3.9799999999999995,4.06,33.96978312799325,32.05230007956851,32.05230007956851,33.618153326519234,2802.702702702703,1,1,1,1
1750342673580,4.1000000000000005,4.06,3.96,4.06,33.73469894872193,32.05230007956851,32.05230007956851,33.502262681327466,2802.702702702703,1,1,1,1
1750342683581,4.080000000000001,4.06,3.9400000000000004,4.06,33.73469894872193,32.05230007956851,32.16026469176205,33.502262681327466,2802.702702702703,1,1,1,1
1750342693580,4.070000000000001,4.06,3.92,4.05,33.73469894872193,32.05230007956851,32.48762153553167,33.502262681327466,2829.7297297297296,1,1,1,1
1750342703580,4.06,4.06,3.91,4.05,33.73469894872193,32.05230007956851,32.48762153553167,33.502262681327466,2829.7297297297296,1,1,1,1
1750342713582,4.05,4.05,3.9000000000000004,4.04,33.73469894872193,32.16026469176205,32.59791422036784,33.502262681327466,2802.702702702703,1,1,1,1
1750342723580,4.05,4.05,3.88,4.04,33.73469894872193,32.37791964209913,32.70880369031113,33.502262681327466,2802.702702702703,1,1,1,1
1750342733583,4.04,4.04,3.88,4.03,33.73469894872193,32.48762153553167,32.82029602855346,33.502262681327466,2802.702702702703,1,1,1,1
1750342743581,4.04,4.03,3.88,4.03,33.73469894872193,32.59791422036784,32.82029602855346,33.502262681327466,2802.702702702703,1,1,1,1
1750342753581,4.03,4.03,3.2899999999999996,3.48,33.73469894872193,32.59791422036784,33.04511410079465,33.502262681327466,2802.702702702703,1,1,1,1
1750342763582,4.03,4.03,3.8500000000000005,4.02,33.73469894872193,32.70880369031113,33.15845246474754,33.502262681327466,2802.702702702703,1,1,1,1
1750342773582,4.02,4.02,3.8500000000000005,4.01,33.73469894872193,32.82029602855346,33.272418960665675,33.502262681327466,2802.702702702703,1,1,1,1
1750342783588,4.02,4.02,3.84,4.01,33.851906521572005,32.82029602855346,33.502262681327466,33.502262681327466,2802.702702702703,1,1,1,1
1750342793587,4,4.02,3.83,4.01,33.96978312799325,32.82029602855346,33.502262681327466,33.618153326519234,2802.702702702703,1,1,1,1
1750342803587,4,4.01,3.83,4,34.088335962463134,32.82029602855346,33.618153326519234,33.618153326519234,2802.702702702703,1,1,1,1
1750342813586,3.99,4.01,3.8200000000000003,4,34.20757233333762,33.04511410079465,33.73469894872193,33.73469894872193,2802.702702702703,1,1,1,1
1750342823587,4,4,3.8199999999999994,3.99,34.20757233333762,33.15845246474754,33.73469894872193,33.73469894872193,2802.702702702703,1,1,1,1
1750342833585,3.99,4,3.82,3.98,34.32749966523653,33.272418960665675,33.73469894872193,33.73469894872193,2802.702702702703,1,1,1,1
1750342843586,3.99,3.99,3.81,3.98,34.32749966523653,33.38702014658804,34.088335962463134,33.73469894872193,2829.7297297297296,1,1,1,1
1750342853586,3.9899999999999998,3.98,3.81,3.98,34.44812550149135,33.502262681327466,34.20757233333762,33.73469894872193,2802.702702702703,1,1,1,1
1750342863588,3.98,3.98,3.8000000000000003,3.98,34.44812550149135,33.502262681327466,34.32749966523653,33.73469894872193,2802.702702702703,1,1,1,1
1750342873588,3.97,3.98,3.7899999999999996,3.98,34.569457506656875,33.618153326519234,34.44812550149135,33.96978312799325,2802.702702702703,1,1,1,1
1750342883589,3.97,3.97,3.7899999999999996,3.97,34.569457506656875,33.73469894872193,34.569457506656875,34.088335962463134,2802.702702702703,1,1,1,1
1750342893592,3.97,3.97,3.78,3.97,34.6915034690893,33.73469894872193,34.569457506656875,34.20757233333762,2802.702702702703,1,1,1,1
1750342903596,3.9499999999999997,3.97,3.7800000000000002,3.96,34.6915034690893,33.73469894872193,34.6915034690893,34.20757233333762,2802.702702702703,1,1,1,1
1750342913599,3.95,3.96,3.7700000000000005,3.96,34.6915034690893,33.73469894872193,34.6915034690893,34.20757233333762,2802.702702702703,1,1,1,1
1750342923601,3.9400000000000004,3.96,3.7700000000000005,3.96,34.81427130359282,33.73469894872193,34.937769054136595,34.32749966523653,2802.702702702703,1,1,1,1
1750342933606,3.95,3.95,3.76,3.96,34.937769054136595,34.088335962463134,34.937769054136595,34.44812550149135,2802.702702702703,1,1,1,1
1750342943609,3.9399999999999995,3.95,3.76,3.95,34.937769054136595,34.20757233333762,35.06200489664434,34.44812550149135,2802.702702702703,1,1,1,1
1750342953612,3.94,3.94,3.75,3.95,35.06200489664434,34.20757233333762,35.18698714185939,34.569457506656875,2802.702702702703,1,1,1,1
1750342963613,3.93,3.94,3.7600000000000002,3.94,35.06200489664434,34.32749966523653,35.18698714185939,34.569457506656875,2802.702702702703,1,1,1,1
1750342973616,3.9200000000000004,3.94,3.7500000000000004,3.94,35.18698714185939,34.44812550149135,35.3127242382871,34.6915034690893,2802.702702702703,1,1,1,1
