timestamp,v1,v2,v3,v4,t1,t2,t3,t4,c,s1,s2,s3,s4
1750378255041,4.15,4.18,4.130000000000001,4.18,28.869711267479317,28.869711267479317,29.619573403948948,28.869711267479317,2802.702702702703,1,1,1,1
1750378265042,4.129999999999999,4.15,4.09,4.15,28.869711267479317,28.869711267479317,29.619573403948948,28.869711267479317,2829.7297297297296,1,1,1,1
1750378275042,4.12,4.13,4.05,4.13,28.869711267479317,28.869711267479317,29.81149315316526,28.869711267479317,2829.7297297297296,1,1,1,1
1750378285044,4.1000000000000005,4.12,4.010000000000001,4.12,28.869711267479317,28.869711267479317,30.005258767861164,28.869711267479317,2802.702702702703,1,1,1,1
1750378295043,4.089999999999999,4.11,3.9899999999999993,4.11,29.147637078853847,28.869711267479317,30.10284423520642,29.429466807118672,2802.702702702703,1,1,1,1
1750378305048,4.08,4.1,3.960000000000001,4.1,29.33508344913929,29.054566402012426,30.20090383312356,29.52429547280883,2829.7297297297296,1,1,1,1
1750378315044,4.07,4.09,3.9399999999999995,4.09,29.52429547280883,29.429466807118672,30.29944190106187,29.619573403948948,2829.7297297297296,1,1,1,1
1750378325049,4.090000000000001,4.06,3.9400000000000004,4.06,29.619573403948948,29.52429547280883,30.398462836903263,29.7153046100251,2829.7297297297296,1,1,1,1
1750378335046,4.070000000000001,4.06,3.920000000000001,4.06,29.619573403948948,29.619573403948948,30.398462836903263,29.908143149052876,2829.7297297297296,1,1,1,1
1750378345049,4.06,4.06,3.920000000000001,4.06,29.81149315316526,29.619573403948948,30.698467729167305,30.005258767861164,2829.7297297297296,1,1,1,1
1750378355054,4.05,4.06,3.09,3.33,29.81149315316526,29.81149315316526,30.799465321000582,30.005258767861164,2802.702702702703,1,1,1,1
1750378365050,4.03,4.06,3.87,4.05,29.908143149052876,29.908143149052876,30.90096868387633,30.20090383312356,2802.702702702703,1,1,1,1
1750378375054,4.03,4.05,3.8600000000000003,4.05,30.005258767861164,30.005258767861164,31.10551187361716,30.20090383312356,2829.7297297297296,1,1,1,1
1750378385053,4.0200000000000005,4.05,3.8499999999999996,4.04,30.10284423520642,30.10284423520642,31.208561442687767,30.29944190106187,2802.702702702703,1,1,1,1
